                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4354,                 6.2236,                  1.519,                      0,                      0,                      0,                      0,                 2.5366,                 9.3919,                 1.4274,                    0.1,                      0,                      0
                      1,                 2.4891,                 6.5144,                 1.5984,                      0,                      0,                      0,                      0,                 2.4868,                 9.1401,                 1.3708,               0.099099,              9.901e-05,              9.901e-05
                      2,                   2.82,                 6.3881,                 1.6805,                      0,                      0,                      0,                      0,                 2.4104,                 8.4589,                 1.2926,               0.098196,             0.00019604,             0.00019604
                      3,                 2.3254,                 6.0594,                 1.4596,                0.00105,                0.11111,                0.00085,                  8e-05,                 2.3543,                 7.6322,                  1.227,               0.097291,             0.00029109,             0.00029109
                      4,                 2.5332,                 5.2559,                 1.5834,                0.00105,                0.11111,                0.00096,                0.00019,                 2.3155,                 6.8814,                 1.1781,               0.096384,             0.00038416,             0.00038416
                      5,                 2.3036,                  5.332,                  1.526,                0.00106,                0.11111,                0.00103,                0.00031,                 2.2484,                 6.1241,                 1.1156,               0.095475,             0.00047525,             0.00047525
                      6,                 2.0006,                 5.0161,                  1.317,                0.00189,                0.12261,                 0.0016,                0.00048,                 2.1836,                 5.5267,                 1.0821,               0.094564,             0.00056436,             0.00056436
                      7,                 2.0067,                  4.566,                  1.365,                0.00419,                0.15709,                0.00391,                0.00172,                 2.1469,                 4.8899,                   1.06,               0.093651,             0.00065149,             0.00065149
                      8,                  2.178,                 3.7762,                 1.4349,                0.00419,                0.15709,                0.00391,                0.00172,                 2.1469,                 4.8899,                   1.06,               0.092737,             0.00073664,             0.00073664
                      9,                 2.0657,                 3.8975,                 1.3785,                0.03206,                0.03306,                0.02132,                0.01057,                 2.1364,                 4.2006,                 1.0506,                0.09182,             0.00081981,             0.00081981
                     10,                 2.0282,                 3.1806,                 1.3487,                0.03206,                0.03306,                0.02132,                0.01057,                 2.1364,                 4.2006,                 1.0506,               0.090901,               0.000901,               0.000901
                     11,                 1.9461,                  3.074,                 1.4356,                0.08301,                0.10345,                0.07305,                 0.0359,                 2.0763,                 3.4327,                 1.0282,                0.08998,             0.00098021,             0.00098021
                     12,                 1.9023,                 2.1557,                 1.3087,                0.08301,                0.10345,                0.07305,                 0.0359,                 2.0763,                 3.4327,                 1.0282,               0.089057,              0.0010574,              0.0010574
                     13,                  1.869,                 2.3254,                 1.3625,                0.86074,                0.10345,                0.11238,                0.05093,                 2.0795,                 3.5877,                  1.023,               0.088133,              0.0011327,              0.0011327
                     14,                 1.8633,                 2.0416,                 1.4257,                0.86074,                0.10345,                0.11238,                0.05093,                 2.0795,                 3.5877,                  1.023,               0.087206,               0.001206,               0.001206
                     15,                 1.7874,                 1.9484,                 1.2549,                0.89238,                0.10345,                0.12977,                0.05938,                 2.0144,                 3.7612,                 1.0118,               0.086277,              0.0012772,              0.0012772
                     16,                 1.8138,                 1.9746,                 1.2499,                0.89238,                0.10345,                0.12977,                0.05938,                 2.0144,                 3.7612,                 1.0118,               0.085347,              0.0013466,              0.0013466
                     17,                 1.6068,                 2.1605,                 1.3169,                0.89531,                0.10345,                0.13692,                0.06037,                 2.0583,                 3.5856,                 1.0143,               0.084414,              0.0014139,              0.0014139
                     18,                 1.6765,                  1.588,                 1.2685,                0.89531,                0.10345,                0.13692,                0.06037,                 2.0583,                 3.5856,                 1.0143,               0.083479,              0.0014792,              0.0014792
                     19,                 1.6756,                 1.7653,                 1.2527,                0.89029,                0.12644,                0.16296,                0.06295,                 2.0804,                 3.2469,                 1.0147,               0.082543,              0.0015426,              0.0015426
                     20,                 1.5133,                 1.5194,                 1.1241,                0.89029,                0.12644,                0.16296,                0.06295,                 2.0804,                 3.2469,                 1.0147,               0.081604,               0.001604,               0.001604
                     21,                 1.6601,                  1.586,                 1.2412,                0.87187,                0.14736,                0.17453,                0.06918,                 2.0915,                 3.1415,                 1.0214,               0.080663,              0.0016634,              0.0016634
                     22,                 1.5293,                 1.5197,                 1.1237,                0.87187,                0.14736,                0.17453,                0.06918,                 2.0915,                 3.1415,                 1.0214,               0.079721,              0.0017208,              0.0017208
                     23,                  1.556,                 1.3434,                 1.1529,                0.87187,                0.14736,                0.17453,                0.06918,                 2.0915,                 3.1415,                 1.0214,               0.078776,              0.0017763,              0.0017763
                     24,                 1.5703,                 1.2876,                 1.0748,                 0.1394,                0.18391,                0.19821,                  0.081,                 2.0427,                 3.0892,                 1.0119,                0.07783,              0.0018298,              0.0018298
                     25,                  1.673,                 1.5437,                 1.2006,                 0.1394,                0.18391,                0.19821,                  0.081,                 2.0427,                 3.0892,                 1.0119,               0.076881,              0.0018812,              0.0018812
